Survive|Class|Honorific|First Name|Last Name|Unmarried Name|Gender|Age|Siblings/Spouses On Board|Parents/Kids On Board|Ticket Number|Fare|Cabins|Embarked From
False|3|Mr|Owen|Braund||male|22|1|0|521171|7.25||Southampton
True|1|Mrs|John|Cumings|Florence Briggs Thayer|female|38|1|0|17599|71.28|C85|Cherbourg
True|3|Miss|Laina|Heikkinen||female|26|0|0|23101282|7.92||Southampton
True|1|Mrs|Jacques|Futrelle|Lily May Peel|female|35|1|0|113803|53.1|C123|Southampton
False|3|Mr|William|Allen||male|35|0|0|373450|8.05||Southampton
False|3|Mr|James|Moran||male||0|0|330877|8.46||Queenstown
False|1|Mr|Timothy|McCarthy||male|54|0|0|17463|51.86|E46|Southampton
False|3|Master|Gosta|Palsson||male|2|3|1|349909|21.08||Southampton
True|3|Mrs|Oscar|Johnson|Elisabeth Vilhelmina Berg|female|27|0|2|347742|11.13||Southampton
True|2|Mrs|Nicholas|Nasser|Adele Achem|female|14|1|0|237736|30.07||Cherbourg
True|3|Miss|Marguerite|Sandstrom||female|4|1|1|9549|16.7|G6|Southampton
True|1|Miss|Elizabeth|Bonnell||female|58|0|0|113783|26.55|C103|Southampton
False|3|Mr|William|Saundercock||male|20|0|0|52151|8.05||Southampton
False|3|Mr|Anders|Andersson||male|39|1|5|347082|31.28||Southampton
False|3|Miss|Hulda|Vestrom||female|14|0|0|350406|7.85||Southampton
True|2|Mrs|Mary|Hewlett|Mary D Kingcome|female|55|0|0|248706|16||Southampton
False|3|Master|Eugene|Rice||male|2|4|1|382652|29.12||Queenstown
True|2|Mr|Charles|Williams||male||0|0|244373|13||Southampton
False|3|Mrs|Julius|Vander Planke|Emelia Maria Vandemoortele|female|31|1|0|345763|18||Southampton
True|3|Mrs|Fatima|Masselmani||female||0|0|2649|7.22||Cherbourg
False|2|Mr|Joseph|Fynney||male|35|0|0|239865|26||Southampton
True|2|Mr|Lawrence|Beesley||male|34|0|0|248698|13|D56|Southampton
True|3|Miss|Anna|McGowan||female|15|0|0|330923|8.03||Queenstown
True|1|Mr|William|Sloper||male|28|0|0|113788|35.5|A6|Southampton
False|3|Miss|Torborg|Palsson||female|8|3|1|349909|21.08||Southampton
True|3|Mrs|Carl|Asplund|Selma Augusta Emilia Johansson|female|38|1|5|347077|31.39||Southampton
False|3|Mr|Farred|Emir||male||0|0|2631|7.22||Cherbourg
False|1|Mr|Charles|Fortune||male|19|3|2|19950|263|C23 C25 C27|Southampton
True|3|Miss|Ellen|O'Dwyer||female||0|0|330959|7.88||Queenstown
